FLXK.DE, Franklin, UCITS, ACC, EUR
VVSM.DE, VanEck, UCITS, ACC, EUR
QDVI.DE, iShares, UCITS, ACC, EUR
ZPRU.DE, SPDR, UCITS, ACC, EUR
SX7PEX.DE, iShares, UCITS, DIST, EUR
BNK.FR, Amundi, UCITS, ACC, EUR
BNKE.FR, Amundi, UCITS, ACC, EUR
XB4A.DE, Xtrackers, UCITS, ACC, EUR
SXEPEX.DE, iShares, UCITS, DIST, EUR
XESP.DE, Xtrackers, UCITS, ACC, EUR
XESD.DE, Xtrackers, UCITS, DIST, EUR
LYXIB.ES, Amundi, UCITS, DIST, EUR
QDVF.DE, iShares, UCITS, ACC, EUR
ZPDE.DE, SPDR, UCITS, ACC, EUR
XUEN.DE, Xtrackers, UCITS, DIST, EUR
ZPRV.DE, SPDR, UCITS, ACC, EUR
STZ.FR, SPDR, UCITS, ACC, EUR
IEVL.UK, iShares, UCITS, ACC, EUR
CEMS.DE, iShares, UCITS, ACC, EUR
SXRY.DE, iShares, UCITS, ACC, EUR
XMIB.DE, Xtrackers, UCITS, DIST, EUR
CANEUA.DE, UBS, UCITS, DIST, EUR
PANX.FR, Amundi, UCITS, ACC, EUR
JMLP.DE, Alerian, UCITS, DIST, EUR
6PSA.DE, Invesco, UCITS, DIST, EUR
IQQD.DE, iShares, UCITS, DIST, EUR
SX6PEX.DE, iShares, UCITS, DIST, EUR
QDVA.DE, iShares, UCITS, ACC, EUR
ZPDT.DE, SPDR, UCITS, ACC, EUR
QDVE.DE, iShares, UCITS, ACC, EUR
H412.DE, HSBC, UCITS, ACC, EUR
XUTC.DE, Xtrackers, UCITS, DIST, EUR
D5BH.DE, Xtrackers, UCITS, ACC, EUR
WTD9.DE, WisdomTree, UCITS, ACC, EUR
CBRS.DE, First Trust, UCITS, ACC, EUR
UBUT.DE, UBS, UCITS, DIST, EUR
QDVD.DE, iShares, UCITS, DIST, EUR
C50.FR, Amundi, UCITS, ACC, EUR
SXRT.DE, iShares, UCITS, ACC, EUR
EUN2.DE, iShares, UCITS, DIST, EUR
SX5EEX.DE, iShares, UCITS, DIST, EUR
MSE.FR, Amundi, UCITS, DIST, EUR
ETDD.FR, BNP Paribas, UCITS, ACC, EUR
SPPY.DE, SPDR, UCITS, ACC, EUR
NADQ.DE, Lyxor, UCITS, DIST, EUR
SMSEUR.DE, Invesco, UCITS, ACC, EUR
XNAS.DE, Xtrackers, UCITS, ACC, EUR
SXRV.DE, iShares, UCITS, ACC, EUR
EQQB.DE, Invesco, UCITS, ACC, EUR
4UBQ.DE, UBS, UCITS, ACC, EUR
S5SD.DE, UBS, UCITS, DIST, EUR
NDXEX.DE, iShares, UCITS, DIST, EUR
6AQQ.DE, Amundi, UCITS, ACC, EUR
SPYF.DE, SPDR, UCITS, ACC, EUR
F500.DE, Amundi, UCITS, ACC, EUR
FUSA.DE, Fidelity, UCITS, ACC, EUR
FUSD.DE, Fidelity, UCITS, DIST, EUR
PE500.FR, Amundi, UCITS, ACC, EUR
QDVB.DE, iShares, UCITS, ACC, EUR
4UBI.DE, UBS, UCITS, ACC, EUR
FUSR.DE, Fidelity, UCITS, ACC, EUR
ZPDI.DE, SPDR, UCITS, ACC, EUR
I500.DE, iShares, UCITS, ACC, EUR
2B7C.DE, iShares, UCITS, ACC, EUR
6TVM.DE, Amundi, UCITS, DIST, EUR
P500.DE, Invesco, UCITS, ACC, EUR
D500.DE, Invesco, UCITS, DIST, EUR
UBU9.DE, UBS, UCITS, DIST, EUR
D5BM.DE, Xtrackers, UCITS, ACC, EUR
SPY5.DE, SPDR, UCITS, DIST, EUR
VUSA.DE, Vanguard, UCITS, DIST, EUR
SXR8.DE, iShares, UCITS, ACC, EUR
VUAA.DE, Vanguard, UCITS, ACC, EUR
IUSA.DE, iShares, UCITS, DIST, EUR
SGAS.DE, iShares, UCITS, ACC, EUR
WTDM.DE, WisdomTree, UCITS, ACC, EUR
